SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
11;04;0003;00044000;1104000300044000;NORTH RHEGOH;258974;258974;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;31;	North Rhe;1506.16;159;159;899;473;426;90;81;0;0;93;89;239;121;220;148;191;132;15;7;2;0;0;0;0;0;0;0;1;0;0;0;2;0;9;9;0;0;253;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043800;1104000300043800;SINGANEYBAS;258975;258975;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;32;	Singaneyb;531.88;14;14;54;29;25;5;4;0;0;17;12;12;6;19;18;16;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043700;1104000300043700;PREMLAKHA;258976;258976;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;33;	Premlakha;329.49;16;16;81;48;33;11;8;0;0;34;21;25;7;26;19;23;19;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;22;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043600;1104000300043600;PHADAMCHEN;258977;258977;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;34;	Padamchen;436.86;153;153;733;384;349;68;56;20;20;170;172;179;111;209;187;144;167;0;0;5;2;0;0;1;0;4;1;24;4;5;5;3;0;23;8;0;0;175;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043600;1104000300043600;PHADAMCHEN;258978;258978;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;34;	Padamchen;436.86;153;153;733;384;349;68;56;20;20;170;172;179;111;209;187;144;167;0;0;5;2;0;0;1;0;4;1;24;4;5;5;3;0;23;8;0;0;175;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043500;1104000300043500;LINGTAM;258979;258979;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;35;	Lingtam;654.36;154;154;856;430;426;67;81;16;28;142;151;153;102;244;202;186;175;32;21;0;0;0;0;0;0;0;0;2;0;4;0;3;0;17;6;0;0;186;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043400;1104000300043400;LAMATEN;258980;258980;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;36;	Lamaten;648.26;101;101;584;299;285;63;61;9;8;113;118;156;88;164;113;132;99;22;9;2;1;0;0;0;0;0;0;0;0;0;0;1;0;7;4;0;0;135;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0003;00043300;1104000300043300;ROLEP;258981;258981;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;39;	Rolep;724.99;86;86;494;245;249;43;61;0;0;14;15;65;47;132;55;119;51;3;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;7;4;0;64;113;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0002;00041200;1104000200041200;KAMAREY BHASMEY;258983;258983;2e+16;11;Sikkim;2;East District;20;PAKYONG;20;20;1;	Kamarey B;687.17;208;208;1332;698;634;132;151;90;88;37;28;285;153;266;184;174;128;67;50;1;0;0;0;1;0;1;0;10;0;1;0;0;0;11;6;4;15;428;435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;04;0001;00034600;1104000100034600;MARTAM;258984;258984;2e+16;11;Sikkim;2;East District;10;GANGTOK;10;10;27;	Martam;1013.46;432;432;2410;1300;1110;205;193;125;103;404;357;679;430;722;342;442;255;37;21;9;4;0;0;2;0;13;15;146;3;16;3;7;1;50;40;0;0;578;768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
