SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
32;08;0006;00086100;3208000600086100;KALLOORKKAD;609517;609517;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;5;Kalloorkkad;2419.06;2398;2405;12426;6210;6216;732;666;367;332;34;27;5153;5064;3467;996;1344;91;902;574;358;24;5;1;20;3;111;17;63;1;236;23;148;6;280;256;89;595;2654;4625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00086800;3208000600086800;MANEED;609519;609519;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;12;Maneed;2619.51;3241;3245;15515;7822;7693;827;781;1410;1454;0;0;6582;5963;4121;1116;1020;108;1374;642;373;22;66;28;55;31;198;62;204;1;306;32;182;18;343;172;177;385;3524;6192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00086200;3208000600086200;MANJALLOOR;609520;609520;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;6;Manjalloor;2347.5;2705;2729;14200;7032;7168;744;782;475;449;2;3;6032;5944;3744;916;1156;30;881;432;247;11;12;0;29;2;229;56;109;3;468;25;270;13;343;344;136;104;3152;6148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00086500;3208000600086500;MARADY (PART);609521;609521;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;9;Marady(Part);1793.13;2587;2588;12838;6497;6341;763;690;504;493;35;28;5504;5041;3554;609;1033;42;667;255;242;13;23;0;28;9;226;39;263;15;478;24;277;4;317;208;134;334;2809;5398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00086600;3208000600086600;MEMURY;609522;609522;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;10;Memury;2293.96;2615;2621;12250;6185;6065;616;616;858;862;18;15;5276;4791;3178;743;899;60;956;417;312;22;19;4;24;10;135;32;119;4;253;21;135;11;326;162;177;197;2830;5125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00085900;3208000600085900;MULAVOOR;609523;609523;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;3;Mulavoor;2646.47;4782;4800;25506;13019;12487;1796;1632;834;831;1;0;10290;8980;6390;1125;1096;58;2021;707;309;24;106;11;66;8;382;40;463;26;1018;28;480;13;449;210;124;246;6505;11116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00087000;3208000600087000;ONAKKOOR;609524;609524;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;13;Onakkoor;2186.75;2506;2506;11862;6062;5800;572;559;517;535;19;16;5162;4530;3314;712;945;17;1074;413;313;26;2;3;38;14;181;45;90;5;220;19;147;5;304;165;148;268;2600;4820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00087200;3208000600087200;PALAKKUZHA;609525;609525;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;15;Palakkuzha;2264.89;2676;2677;12773;6358;6415;650;687;373;377;0;0;5434;5180;3323;613;1159;60;757;293;343;17;8;1;36;10;124;28;104;10;323;18;164;5;305;171;166;362;2869;5440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00086700;3208000600086700;RAMAMANGALAM;609527;609527;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;11;Ramamangalam;1408.33;2082;2090;9692;4990;4702;541;466;554;542;6;5;4204;3695;2641;532;660;29;575;272;345;8;63;30;45;11;124;18;196;3;207;19;127;9;299;133;129;157;2220;4013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;08;0006;00087100;3208000600087100;THIRUMARADY;609528;609528;8.01e+16;32;Kerala;8;Ernakulam;60;Muvattupuzha;60;60;14;Thirumarady;2924.29;3464;3465;16462;8276;8186;869;839;761;694;2;3;7037;6546;4307;1096;1483;225;1150;501;457;29;40;5;56;16;188;41;130;14;318;36;140;15;345;214;268;269;3701;6821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
